,name,losses,wins
232,Robin Haase,"['Andy Murray', 'Andreas Seppi', 'Borna Coric', 'Lukas Rosol', 'Santiago Giraldo', 'Nicolas Mahut', 'Richard Gasquet', 'Pablo Carreno Busta', 'Federico Delbonis', 'Gilles Simon', 'Andreas Haider Maurer', 'Yen Hsun Lu', 'Andreas Seppi', 'Albert Ramos', 'Lamine Ouahab', 'Philipp Kohlschreiber', 'Vasek Pospisil', 'Nick Kyrgios', 'Dominic Thiem', 'Marin Cilic']","['Alejandro Falla', 'Alex Bolt', 'Stanislas Wawrinka', 'Kyle Edmund', 'Blaz Kavcic', 'Fernando Verdasco', 'Ivo Karlovic', 'Dustin Brown', 'Marcel Granollers', 'Juan Monaco', 'Dusan Lajovic', 'Pablo Cuevas', 'Ricardas Berankis', 'Feliciano Lopez']"
233,Roger Federer,"['Albert Ramos', 'John Isner', 'Novak Djokovic', 'Novak Djokovic', 'Novak Djokovic', 'Andreas Seppi', 'Nick Kyrgios', 'Novak Djokovic', 'Gael Monfils', 'Stanislas Wawrinka', 'Novak Djokovic']","['Roberto Bautista Agut', 'Kevin Anderson', 'Feliciano Lopez', 'Andy Murray', 'Novak Djokovic', 'Andreas Seppi', 'Jarkko Nieminen', 'Daniel Gimeno Traver', 'Diego Sebastian Schwartzman', 'Pablo Cuevas', 'Damir Dzumhur', 'Sam Querrey', 'Samuel Groth', 'Roberto Bautista Agut', 'Gilles Simon', 'Andy Murray', 'Diego Sebastian Schwartzman', 'Andreas Seppi', 'Jack Sock', 'Tomas Berdych', 'Milos Raonic', 'John Millman', 'James Duckworth', 'Grigor Dimitrov', 'Milos Raonic', 'Philipp Kohlschreiber', 'Ernests Gulbis', 'Florian Mayer', 'Ivo Karlovic', 'Andreas Seppi', 'Mikhail Youzhny', 'Fernando Verdasco', 'Richard Gasquet', 'Borna Coric', 'Novak Djokovic', 'Leonardo Mayer', 'Steve Darcis', 'Philipp Kohlschreiber', 'John Isner', 'Richard Gasquet', 'Stanislas Wawrinka', 'Yen Hsun Lu', 'Simone Bolelli', 'Pablo Cuevas', 'Kevin Anderson', 'Tomas Berdych', 'Stanislas Wawrinka', 'Jeremy Chardy', 'Mikhail Kukushkin', 'Philipp Kohlschreiber', 'David Goffin', 'Jack Sock', 'Rafael Nadal', 'Alejandro Falla', 'Marcel Granollers', 'Damir Dzumhur', 'Gael Monfils', 'Tomas Berdych', 'Novak Djokovic', 'Kei Nishikori', 'Stanislas Wawrinka']"
234,Rogerio Dutra Silva,"['Santiago Giraldo', 'Federico Delbonis', 'Santiago Giraldo']",['Bye']
235,Ruben Bemelmans,"['Roberto Bautista Agut', 'Sam Querrey', 'Juan Monaco', 'Stanislas Wawrinka', 'Yen Hsun Lu', 'Ivo Karlovic', 'Jack Sock', 'Benjamin Becker']","['Gilles Muller', 'Jack Sock', 'Marinko Matosevic']"
236,Rui Machado,['Borna Coric'],['Joao Sousa']
237,Ryan Harrison,"['Kei Nishikori', 'Jurgen Melzer', 'Kei Nishikori', 'Rajeev Ram', 'Yuichi Sugita', 'David Ferrer', 'James Duckworth', 'Denis Kudla']","['Mardy Fish', 'Malek Jaziri', 'Donald Young', 'Grigor Dimitrov', 'Ivo Karlovic']"
238,Ryan Shane,['Jeremy Chardy'],['Bye']
239,Sam Querrey,"['Kei Nishikori', 'Marcos Baghdatis', 'Tommy Robredo', 'Albert Ramos', 'Roger Federer', 'David Goffin', 'Juan Monaco', 'Sergiy Stakhovsky', 'Kevin Anderson', 'Kei Nishikori', 'Bernard Tomic', 'Jeremy Chardy', 'Nicolas Mahut', 'Grigor Dimitrov', 'Dustin Brown', 'Denis Istomin', 'Vasek Pospisil', 'Simone Bolelli', 'Marin Cilic', 'Roberto Bautista Agut', 'Jo Wilfried Tsonga', 'Jack Sock', 'Alejandro Gonzalez', 'Borna Coric']","['Alexandr Dolgopolov', 'John Isner', 'Igor Sijsling', 'Martin Klizan', 'Ruben Bemelmans', 'Victor Estrella', 'Benjamin Becker', 'Jared Donaldson', 'John Isner', 'Matthew Ebden', 'Santiago Giraldo', 'Pablo Cuevas', 'Gilles Simon', 'Alexandr Dolgopolov', 'Go Soeda', 'Thanasi Kokkinakis', 'Marinko Matosevic', 'Steve Johnson', 'Feliciano Lopez', 'Fernando Verdasco']"
240,Samuel Groth,"['Jeremy Chardy', 'Roger Federer', 'Benjamin Becker', 'Borna Coric', 'Daniel Gimeno Traver', 'Alexander Zverev', 'Kevin Anderson', 'Milos Raonic', 'Gilles Muller', 'Radek Stepanek', 'Tommy Robredo', 'Joao Sousa', 'Bernard Tomic', 'Alexandr Dolgopolov', 'Steve Johnson', 'Kei Nishikori', 'Marcos Baghdatis', 'Feliciano Lopez', 'Viktor Troicki', 'Yen Hsun Lu', 'Pablo Cuevas']","['Jack Sock', 'James Duckworth', 'Yen Hsun Lu', 'Lleyton Hewitt', 'Lukasz Kubot', 'Guido Pella', 'Alexandr Dolgopolov', 'Mischa Zverev', 'Filip Krajinovic', 'Thanasi Kokkinakis', 'Jared Donaldson', 'Thomaz Bellucci', 'Viktor Troicki', 'Feliciano Lopez', 'Francis Tiafoe', 'Victor Estrella', 'Sergiy Stakhovsky', 'Feliciano Lopez']"
241,Santiago Giraldo,"['Philipp Kohlschreiber', 'Kei Nishikori', 'Diego Sebastian Schwartzman', 'Denis Kudla', 'Albert Montanes', 'Nick Kyrgios', 'Alexandr Dolgopolov', 'Andy Murray', 'Ivo Karlovic', 'Austin Krajicek', 'Guillermo Garcia Lopez', 'Juan Monaco', 'Feliciano Lopez', 'Sam Querrey', 'Philipp Kohlschreiber', 'Steve Johnson', 'Viktor Troicki', 'Vasek Pospisil', 'Borna Coric', 'Fabio Fognini', 'Matteo Donati', 'Pablo Cuevas', 'Jack Sock', 'Kenny De Schepper', 'Thomaz Bellucci', 'David Goffin']","['Joao Sousa', 'Andrey Rublev', 'Joao Souza', 'Kei Nishikori', 'Robin Haase', 'Paolo Lorenzi', 'Marsel Ilhan', 'Andreas Haider Maurer', 'Rogerio Dutra Silva', 'Jan Hernych', 'Austin Krajicek', 'Steve Darcis', 'Kimmer Coppejans', 'Carlos Berlocq', 'Fabio Fognini', 'Rogerio Dutra Silva', 'Janko Tipsarevic', 'Ricardas Berankis', 'Mikhail Youzhny', 'Marin Cilic', 'Donald Young']"
242,Sergiy Stakhovsky,"['Bernard Tomic', 'Borna Coric', 'Rafael Nadal', 'Alexandr Dolgopolov', 'Milos Raonic', 'Tomas Berdych', 'Nicolas Almagro', 'Juan Martin Del Potro', 'Ernests Gulbis', 'Tomas Berdych', 'Jo Wilfried Tsonga', 'Borna Coric', 'Ivo Karlovic', 'Denis Istomin', 'David Ferrer', 'Pierre Hugues Herbert', 'Mikhail Youzhny', 'Lukas Rosol', 'Tomas Berdych', 'Novak Djokovic', 'Pierre Hugues Herbert', 'Gilles Simon', 'Samuel Groth', 'Grigor Dimitrov', 'Steve Johnson']","['Filip Peliwo', 'Marcel Granollers', 'Dominic Thiem', 'Sam Querrey', 'Lukas Rosol', 'Denis Istomin', 'John Millman', 'Illya Marchenko', 'Jan Lennard Struff', 'Steve Johnson', 'Viktor Troicki', 'Dusan Lajovic', 'Borna Coric', 'Mikhail Ledovskikh', 'Pablo Carreno Busta', 'Jabor Al Mutawa', 'Lukas Rosol', 'Jan Lennard Struff', 'Stanislas Wawrinka', 'Ricardas Berankis']"
243,Simone Bolelli,"['Vasek Pospisil', 'Kei Nishikori', 'Milos Raonic', 'Milos Raonic', 'Viktor Troicki', 'Viktor Troicki', 'Tomas Berdych', 'David Goffin', 'Tommy Robredo', 'Gael Monfils', 'Richard Gasquet', 'Marcos Baghdatis', 'Roger Federer', 'Pablo Carreno Busta', 'David Goffin', 'Andreas Seppi', 'Rafael Nadal', 'Dominic Thiem', 'Victor Estrella', 'Richard Gasquet', 'Lucas Pouille', 'Gael Monfils', 'Joao Sousa', 'Novak Djokovic', 'David Ferrer']","['Lukas Rosol', 'Thomaz Bellucci', 'Marcos Baghdatis', 'Marinko Matosevic', 'David Goffin', 'Lucas Pouille', 'Andreas Haider Maurer', 'Victor Estrella', 'Andrey Golubev', 'Andreas Haider Maurer', 'Go Soeda', 'Martin Klizan', 'Adrian Mannarino', 'Juan Monaco', 'Federico Delbonis', 'Sam Querrey', 'Dustin Brown', 'Lukas Rosol', 'Jaume Munar', 'Kevin Anderson', 'Luca Vanni', 'Benjamin Becker', 'Luca Vanni', 'Milos Raonic', 'Andrey Rublev', 'Tomas Berdych', 'Steve Darcis', 'Viktor Troicki']"
244,Somdev Devvarman,"['Yen Hsun Lu', 'Jared Donaldson']",['Bye']
