,name,losses,wins
64,Donald Young,"['Marin Cilic', 'Victor Estrella', 'Marcos Baghdatis', 'Ernests Gulbis', 'Rafael Nadal', 'Andy Murray', 'Kevin Anderson', 'Borna Coric', 'Stanislas Wawrinka', 'Alexandr Dolgopolov', 'Milos Raonic', 'Ryan Harrison', 'Denis Istomin', 'Vasek Pospisil', 'Gilles Muller', 'Grigor Dimitrov', 'Philipp Kohlschreiber', 'Steve Johnson', 'Jiri Vesely', 'Ivo Karlovic', 'Jack Sock', 'Santiago Giraldo']","['Denis Kudla', 'Tomas Berdych', 'Pablo Carreno Busta', 'Jeremy Chardy', 'Yen Hsun Lu', 'Adrian Mannarino', 'Denis Kudla', 'Bernard Tomic', 'Gilles Simon', 'Aljaz Bedene', 'Viktor Troicki', 'Tim Puetz', 'Tommy Haas', 'Go Soeda', 'Diego Sebastian Schwartzman', 'Ivan Dodig', 'Alejandro Gonzalez', 'Alexandr Dolgopolov', 'Bernard Tomic', 'Henri Laaksonen', 'Kevin Anderson']"
65,Dudi Sela,"['Dominic Thiem', 'Pablo Cuevas', 'Pablo Cuevas', 'Rafael Nadal', 'Hyeon Chung', 'Denis Kudla', 'Denis Istomin', 'Andrey Rublev', 'Jo Wilfried Tsonga']","['Daniel Gimeno Traver', 'Jan Lennard Struff', 'Lukas Rosol', 'Mardy Fish', 'Benjamin Becker', 'Jurgen Zopp', 'Mikhail Kukushkin']"
66,Dusan Lajovic,"['Dominic Thiem', 'David Goffin', 'Ivan Dodig', 'Tommy Haas', 'Feliciano Lopez', 'John Isner', 'Federico Delbonis', 'Filip Krajinovic', 'Lukas Rosol', 'Martin Klizan', 'Pablo Andujar', 'Nicolas Almagro', 'Sergiy Stakhovsky', 'Ivo Karlovic', 'Juan Monaco', 'Luca Vanni', 'Novak Djokovic', 'Robin Haase', 'Jeremy Chardy', 'Ivo Karlovic', 'Stanislas Wawrinka']","['Laslo Djere', 'Nicolas Mahut', 'Thanasi Kokkinakis', 'Luca Vanni', 'Nicolas Jarry', 'Jack Sock', 'Pablo Carreno Busta', 'Jurgen Zopp', 'Calvin Hemery', 'Mikhail Youzhny', 'Andreas Seppi', 'Thanasi Kokkinakis', 'Pablo Andujar', 'Fernando Verdasco', 'Alexandr Dolgopolov', 'Maximo Gonzalez']"
67,Dustin Brown,"['Viktor Troicki', 'Andrey Golubev', 'Steve Johnson', 'Kei Nishikori', 'Robin Haase', 'Ivo Karlovic', 'Grigor Dimitrov', 'Kevin Anderson', 'Simone Bolelli', 'Jerzy Janowicz', 'David Ferrer', 'Martin Klizan', 'Stanislas Wawrinka', 'Jerzy Janowicz', 'Ivo Karlovic']","['Yen Hsun Lu', 'Rafael Nadal', 'Marinko Matosevic', 'Andreas Haider Maurer', 'Adrien Bossel', 'Sam Querrey', 'Paolo Lorenzi', 'Jan Lennard Struff', 'Andrey Kuznetsov', 'Rajeev Ram']"
68,Edouard Roger Vasselin,"['Tomas Berdych', 'Gael Monfils', 'Gilles Muller', 'Feliciano Lopez', 'Jerzy Janowicz', 'Radek Stepanek', 'Adrian Mannarino', 'Malek Jaziri', 'Gilles Simon', 'Joao Sousa', 'Gilles Simon', 'Gael Monfils']","['Ivo Karlovic', 'Marinko Matosevic', 'Blaz Kavcic', 'Tommy Robredo', 'Andreas Beck', 'Kenny De Schepper']"
69,Elias Ymer,"['David Ferrer', 'Ivo Karlovic', 'Gilles Muller', 'Diego Sebastian Schwartzman', 'Tommy Robredo', 'Go Soeda', 'Thomaz Bellucci', 'Lukas Rosol']","['Thiemo De Bakker', 'Nick Kyrgios', 'Igor Sijsling']"
70,Eric Quigley,['Adrian Mannarino'],['Bye']
71,Ernests Gulbis,"['Benoit Paire', 'Lukas Rosol', 'Novak Djokovic', 'Dominic Thiem', 'Dominic Thiem', 'Adrian Mannarino', 'Juan Monaco', 'Roger Federer', 'Denis Istomin', 'Aljaz Bedene', 'John Millman', 'Steve Johnson', 'Thanasi Kokkinakis', 'Paul Henri Mathieu', 'Lukas Rosol', 'Juan Monaco', 'David Goffin', 'Jiri Vesely', 'Andreas Haider Maurer', 'Jiri Vesely', 'Jeremy Chardy', 'Marcos Baghdatis', 'John Isner', 'Nicolas Mahut']","['Dominic Thiem', 'Lukas Rosol', 'Donald Young', 'Alexandr Dolgopolov', 'Daniel Gimeno Traver', 'Sergiy Stakhovsky', 'Lucas Miedler', 'John Isner', 'Ivo Karlovic', 'Marsel Ilhan', 'Igor Sijsling']"
72,Evgeny Donskoy,"['Renzo Olivo', 'Guillermo Garcia Lopez', 'Marin Cilic', 'Marin Cilic', 'Milos Raonic']","['Lucas Pouille', 'Borna Coric', 'Ricardas Berankis', 'Teymuraz Gabashvili', 'Alexandre Sidorenko']"
73,Fabio Fognini,"['Joao Sousa', 'Thanasi Kokkinakis', 'Kevin Anderson', 'Bernard Tomic', 'Pablo Andujar', 'Vasek Pospisil', 'Gael Monfils', 'Adrian Mannarino', 'Jack Sock', 'Juan Martin Del Potro', 'Feliciano Lopez', 'David Ferrer', 'David Ferrer', 'Philipp Kohlschreiber', 'Alejandro Gonzalez', 'Carlos Berlocq', 'Mischa Zverev', 'Dominic Thiem', 'Rafael Nadal', 'Grigor Dimitrov', 'Tomas Berdych', 'Grigor Dimitrov', 'Santiago Giraldo', 'Rafael Nadal', 'Benoit Paire']","['Jiri Vesely', 'Damir Dzumhur', 'Joao Sousa', 'Andrey Rublev', 'Rafael Nadal', 'Tim Smyczek', 'Steve Johnson', 'Pablo Cuevas', 'Rafael Nadal', 'Paul Henri Mathieu', 'Radek Stepanek', 'Jiri Vesely', 'Pablo Andujar', 'Federico Delbonis', 'Rafael Nadal', 'Dennis Novak', 'Bastian Trinker', 'Jeremy Chardy', 'Albert Ramos', 'Aljaz Bedene', 'Lucas Pouille', 'Santiago Giraldo', 'Steve Johnson', 'Grigor Dimitrov', 'Jerzy Janowicz', 'Diego Sebastian Schwartzman', 'Martin Klizan', 'David Goffin', 'Pablo Cuevas', 'Tatsuma Ito']"
74,Fabrice Martin,['Andrey Golubev'],['Bye']
75,Facundo Arguello,"['Albert Montanes', 'Joao Souza', 'Rafael Nadal', 'Hyeon Chung', 'Andy Murray']",['Albert Montanes']
76,Facundo Bagnis,"['Nikoloz Basilashvili', 'Alejandro Gonzalez', 'Blaz Rola', 'Pablo Cuevas']","['Marco Cecchinato', 'Federico Delbonis']"
77,Farrukh Dustov,['Radek Stepanek'],['Bye']
78,Federico Delbonis,"['Jeremy Chardy', 'Grigor Dimitrov', 'Kevin Anderson', 'David Ferrer', 'Ivo Karlovic', 'Fabio Fognini', 'Dominic Thiem', 'Paul Henri Mathieu', 'Nick Kyrgios', 'Pablo Cuevas', 'Rafael Nadal', 'Simone Bolelli', 'Facundo Bagnis', 'Nicolas Mahut', 'Kevin Anderson', 'Adrian Mannarino', 'Joao Sousa', 'Juan Monaco']","['Ante Pavic', 'Dusan Lajovic', 'Jiri Vesely', 'Diego Sebastian Schwartzman', 'Martin Klizan', 'Marco Chiudinelli', 'Pablo Carreno Busta', 'Robin Haase', 'Rogerio Dutra Silva', 'Pablo Carreno Busta', 'Paolo Lorenzi', 'Ricardas Berankis', 'Teymuraz Gabashvili', 'Andrey Kuznetsov', 'Stanislas Wawrinka']"
79,Federico Gaio,['Leonardo Mayer'],['Bye']
80,Feliciano Lopez,"['Joao Sousa', 'Roger Federer', 'Novak Djokovic', 'Viktor Troicki', 'Pablo Andujar', 'Nikoloz Basilashvili', 'Victor Estrella', 'Tommy Robredo', 'David Ferrer', 'Aljaz Bedene', 'Andy Murray', 'Dominic Thiem', 'Marsel Ilhan', 'Novak Djokovic', 'John Isner', 'Dominic Thiem', 'Yen Hsun Lu', 'Milos Raonic', 'Steve Johnson', 'Samuel Groth', 'Leonardo Mayer', 'Viktor Troicki', 'Sam Querrey', 'Samuel Groth', 'Robin Haase', 'Teymuraz Gabashvili']","['Milos Raonic', 'Andreas Seppi', 'Rafael Nadal', 'Andrey Kuznetsov', 'Dominic Thiem', 'Marsel Ilhan', 'Steve Darcis', 'Alejandro Gonzalez', 'Dusan Lajovic', 'Fernando Verdasco', 'Mischa Zverev', 'Vasek Pospisil', 'Nick Kyrgios', 'Edouard Roger Vasselin', 'Pablo Cuevas', 'Kei Nishikori', 'James Ward', 'Nikoloz Basilashvili', 'Mardy Fish', 'Milos Raonic', 'Fabio Fognini', 'Joao Sousa', 'Julian Reister', 'Santiago Giraldo', 'Taylor Harry Fritz', 'Denis Kudla', 'Adrian Mannarino', 'Jerzy Janowicz', 'Lleyton Hewitt', 'Benjamin Becker', 'Nick Kyrgios', 'Samuel Groth']"
81,Fernando Verdasco,"['Marcos Baghdatis', 'Jack Sock', 'David Goffin', 'Bernard Tomic', 'Borna Coric', 'Andrey Rublev', 'Stanislas Wawrinka', 'Feliciano Lopez', 'Nick Kyrgios', 'Kei Nishikori', 'Juan Monaco', 'Robin Haase', 'Roger Federer', 'Milos Raonic', 'Andy Murray', 'Novak Djokovic', 'Nicolas Almagro', 'Guillermo Garcia Lopez', 'Rafael Nadal', 'David Ferrer', 'Grigor Dimitrov', 'Dusan Lajovic', 'David Ferrer', 'Gilles Muller', 'Sam Querrey', 'Benjamin Becker']","['Denis Kudla', 'Jo Wilfried Tsonga', 'Martin Klizan', 'Dominic Thiem', 'Gerald Melzer', 'Paolo Lorenzi', 'James Duckworth', 'James Duckworth', 'Rafael Nadal', 'Daniel Gimeno Traver', 'Guillermo Garcia Lopez', 'Tommy Haas', 'Roberto Bautista Agut', 'James Ward', 'Go Soeda', 'Guillermo Garcia Lopez', 'Marin Cilic', 'Maximo Gonzalez', 'Teymuraz Gabashvili', 'Alexander Zverev', 'Paolo Lorenzi', 'Hyeon Chung', 'Teymuraz Gabashvili', 'Taro Daniel']"
82,Filip Krajinovic,"['Grigor Dimitrov', 'Nicolas Mahut', 'Igor Sijsling', 'Gael Monfils', 'Steve Johnson', 'David Ferrer', 'Samuel Groth', 'Grigor Dimitrov', 'Nick Kyrgios', 'Thanasi Kokkinakis', 'David Goffin']","['Dusan Lajovic', 'Alejandro Gonzalez', 'Alejandro Gonzalez']"
83,Filip Peliwo,['Sergiy Stakhovsky'],['Bye']
84,Florian Mayer,"['Juan Monaco', 'Roger Federer', 'Martin Klizan', 'Malek Jaziri', 'Lukas Rosol', 'Andreas Seppi', 'Kevin Anderson', 'Marin Cilic', 'Roberto Bautista Agut']","['Jan Lennard Struff', 'Steve Johnson', 'Albert Montanes', 'Mikhail Youzhny']"
85,Francis Tiafoe,"['James Duckworth', 'Viktor Troicki', 'Thomaz Bellucci', 'Samuel Groth', 'Martin Klizan']",['James Duckworth']
86,Frank Dancevic,"['Pablo Andujar', 'Alexandr Dolgopolov', 'Igor Sijsling']",['Bye']
87,Frederico Ferreira Silva,['Gilles Muller'],['Bye']
88,Gael Monfils,"['Dominic Thiem', 'Jerzy Janowicz', 'Benoit Paire', 'Gilles Simon', 'Gilles Muller', 'Tomas Berdych', 'Tomas Berdych', 'Andreas Seppi', 'Illya Marchenko', 'Guillermo Garcia Lopez', 'David Ferrer', 'Jerzy Janowicz', 'Marcel Granollers', 'Richard Gasquet', 'Tomas Berdych', 'Gilles Simon', 'Rafael Nadal', 'Roger Federer']","['Bastian Trinker', 'Philipp Kohlschreiber', 'Pablo Carreno Busta', 'Adrian Mannarino', 'Fabio Fognini', 'Edouard Roger Vasselin', 'Roberto Bautista Agut', 'Filip Krajinovic', 'Jo Wilfried Tsonga', 'Lukas Rosol', 'Mikhail Kukushkin', 'Mikhail Youzhny', 'Simone Bolelli', 'Thomaz Bellucci', 'Paolo Lorenzi', 'Lukas Rosol', 'Lucas Pouille', 'Viktor Troicki', 'Kenny De Schepper', 'Steve Darcis', 'Andrey Kuznetsov', 'Alexandr Dolgopolov', 'Roger Federer', 'Grigor Dimitrov', 'Alexander Zverev', 'Andrey Kuznetsov', 'Simone Bolelli', 'Roberto Bautista Agut', 'Andreas Haider Maurer', 'Philipp Kohlschreiber', 'Edouard Roger Vasselin', 'Diego Sebastian Schwartzman', 'Pablo Cuevas']"
89,Gastao Elias,"['Kenny De Schepper', 'Benoit Paire']",['Bye']
90,Gerald Melzer,"['Fernando Verdasco', 'Jiri Vesely', 'Albert Montanes', 'Philipp Kohlschreiber']","['Andreas Haider Maurer', 'Pablo Andujar', 'Dominic Thiem']"
91,Germain Gigounon,['Richard Gasquet'],['Bye']
92,Gianni Mina,['Borna Coric'],['Bernard Tomic']
93,Gilles Muller,"['Stanislas Wawrinka', 'Marcos Baghdatis', 'Benoit Paire', 'Richard Gasquet', 'Jo Wilfried Tsonga', 'Andy Murray', 'Stanislas Wawrinka', 'Stanislas Wawrinka', 'Jack Sock', 'Steve Darcis', 'Viktor Troicki', 'David Goffin', 'Andy Murray', 'Ruben Bemelmans', 'Andy Murray', 'Novak Djokovic', 'Joao Sousa', 'Ricardas Berankis', 'Richard Gasquet', 'Marcos Baghdatis', 'Leonardo Mayer', 'Gilles Simon', 'Pablo Carreno Busta', 'Novak Djokovic']","['Kevin Anderson', 'Jeremy Chardy', 'Gilles Simon', 'Mischa Zverev', 'John Millman', 'Philip Bester', 'Gael Monfils', 'David Goffin', 'Grigor Dimitrov', 'Edouard Roger Vasselin', 'Elias Ymer', 'Samuel Groth', 'Jeremy Chardy', 'Bernard Tomic', 'Marsel Ilhan', 'Vasek Pospisil', 'Marius Copil', 'Mikhail Youzhny', 'Grigor Dimitrov', 'Pablo Carreno Busta', 'Roberto Bautista Agut', 'John Isner', 'Malek Jaziri', 'Donald Young', 'Jared Donaldson', 'Go Soeda', 'Aljaz Bedene', 'Fernando Verdasco', 'Frederico Ferreira Silva', 'Albert Montanes', 'Paolo Lorenzi']"
94,Gilles Simon,"['Gilles Muller', 'Jack Sock', 'Ivo Karlovic', 'Tomas Berdych', 'Novak Djokovic', 'Roger Federer', 'Mikhail Youzhny', 'Tomas Berdych', 'Rafael Nadal', 'David Ferrer', 'James Duckworth', 'Donald Young', 'Daniel Gimeno Traver', 'Kevin Anderson', 'Sam Querrey', 'David Ferrer', 'Aljaz Bedene', 'Dominic Thiem', 'Jerzy Janowicz', 'David Ferrer', 'Jo Wilfried Tsonga', 'Stanislas Wawrinka']","['Mikhail Youzhny', 'Jiri Vesely', 'Leonardo Mayer', 'Nikoloz Basilashvili', 'Leonardo Mayer', 'Benoit Paire', 'Nicolas Almagro', 'Blaz Kavcic', 'Gael Monfils', 'Tomas Berdych', 'Andreas Seppi', 'Joao Sousa', 'Jeremy Chardy', 'Andy Murray', 'Malek Jaziri', 'Michael Berrer', 'Mikhail Kukushkin', 'Alejandro Falla', 'Janko Tipsarevic', 'David Goffin', 'Thanasi Kokkinakis', 'Milos Raonic', 'Marcel Granollers', 'Joao Sousa', 'Robin Haase', 'Marcel Granollers', 'Jack Sock', 'Edouard Roger Vasselin', 'Benjamin Balleret', 'Benoit Paire', 'Edouard Roger Vasselin', 'Gilles Muller', 'Martin Klizan', 'Pierre Hugues Herbert', 'Borna Coric', 'Jeremy Chardy', 'Sergiy Stakhovsky', 'Gael Monfils', 'Lucas Pouille', 'Martin Klizan', 'Nicolas Mahut']"
95,Giovanni Lapentti,['Thomaz Bellucci'],['Bye']
96,Go Soeda,"['David Goffin', 'John Isner', 'Jack Sock', 'Zhizhen Zhang', 'Simone Bolelli', 'Fernando Verdasco', 'Viktor Troicki', 'Sam Querrey', 'Gilles Muller', 'Jeremy Chardy', 'Donald Young', 'Philipp Kohlschreiber']","['Elias Ymer', 'Matthias Bachinger', 'Darian King', 'Alexandr Dolgopolov', 'Adrian Mannarino', 'Lleyton Hewitt']"
97,Gonzalo Escobar,['Nicolas Jarry'],['Bye']
98,Grigor Dimitrov,"['Benoit Paire', 'Tomas Berdych', 'Andy Murray', 'David Ferrer', 'Pablo Cuevas', 'Richard Gasquet', 'Jack Sock', 'Benjamin Becker', 'Gilles Muller', 'Tommy Robredo', 'John Isner', 'Roger Federer', 'Mikhail Kukushkin', 'Gilles Muller', 'Andy Murray', 'Ryan Harrison', 'Steve Johnson', 'Rafael Nadal', 'Fabio Fognini', 'Gael Monfils', 'Rafael Nadal', 'Jack Sock']","['Filip Krajinovic', 'Nicolas Almagro', 'Lukas Rosol', 'Vasek Pospisil', 'Pablo Carreno Busta', 'Marin Cilic', 'Andrey Golubev', 'Ivan Dodig', 'Federico Delbonis', 'Steve Johnson', 'Alexandr Dolgopolov', 'Joao Sousa', 'Paul Henri Mathieu', 'Nick Kyrgios', 'Vasek Pospisil', 'Jeremy Chardy', 'Martin Klizan', 'Matthew Ebden', 'Sam Querrey', 'Dustin Brown', 'Lukas Lacko', 'Marcos Baghdatis', 'Filip Krajinovic', 'Guido Pella', 'Donald Young', 'Fabio Fognini', 'Stanislas Wawrinka', 'Jerzy Janowicz', 'Fernando Verdasco', 'Fabio Fognini', 'Stanislas Wawrinka', 'Sergiy Stakhovsky']"
99,Guido Andreozzi,['Pablo Cuevas'],['Andres Molteni']
100,Guido Pella,"['Samuel Groth', 'Marin Cilic', 'Grigor Dimitrov', 'Carlos Berlocq']",['Ivan Dodig']
101,Guilherme Clezar,"['Thiemo De Bakker', 'Albert Ramos', 'Janko Tipsarevic']",['Bye']
102,Guillermo Garcia Lopez,"['Roberto Bautista Agut', 'Lukas Rosol', 'Pablo Andujar', 'Stanislas Wawrinka', 'Aljaz Bedene', 'Thanasi Kokkinakis', 'Juan Monaco', 'Marius Copil', 'Fernando Verdasco', 'Tomas Berdych', 'Tomas Berdych', 'David Ferrer', 'Kevin Anderson', 'Stanislas Wawrinka', 'Steve Johnson', 'Yen Hsun Lu', 'Jaume Munar', 'Fernando Verdasco', 'David Ferrer', 'Lamine Ouahab', 'Martin Klizan', 'Diego Sebastian Schwartzman', 'Richard Gasquet', 'Ivo Karlovic', 'Steve Johnson']","['Denis Istomin', 'Evgeny Donskoy', 'Tatsuma Ito', 'Jan Lennard Struff', 'Janko Tipsarevic', 'Nicolas Mahut', 'Lukas Rosol', 'Adrian Mannarino', 'Marin Cilic', 'Lorenzo Giustino', 'Marcos Baghdatis', 'Lukas Rosol', 'Gael Monfils', 'Jiri Vesely', 'Santiago Giraldo', 'Pablo Andujar', 'Alexandr Dolgopolov', 'Peter Gojowczyk', 'Alejandro Gonzalez', 'Vasek Pospisil', 'Fernando Verdasco', 'Taro Daniel', 'Damir Dzumhur', 'Viktor Troicki', 'Marcos Baghdatis', 'Andreas Seppi', 'Marin Cilic', 'Alexandr Dolgopolov', 'Pierre Hugues Herbert', 'Roberto Carballes Baena', 'Kevin Anderson', 'Borna Coric']"
103,Henri Laaksonen,"['Joao Sousa', 'Donald Young']",['Bye']
104,Hiroki Moriya,"['Marin Cilic', 'Tommy Robredo', 'Jerzy Janowicz']",['Ricardas Berankis']
105,Horacio Zeballos,"['David Goffin', 'Thomaz Bellucci', 'David Goffin', 'Albert Ramos']","['Austin Krajicek', 'Andrey Rublev']"
106,Hyeon Chung,"['Pierre Hugues Herbert', 'Leonardo Mayer', 'Tomas Berdych', 'Stanislas Wawrinka', 'Marin Cilic', 'Leonardo Mayer', 'Yen Hsun Lu', 'Marin Cilic', 'Fernando Verdasco']","['Marcel Granollers', 'James Duckworth', 'Di Wu', 'Aljaz Bedene', 'Albert Ramos', 'James Ward', 'Benoit Paire', 'Dudi Sela', 'Facundo Arguello']"
107,Igor Sijsling,"['Sam Querrey', 'Elias Ymer', 'Rafael Nadal', 'Bernard Tomic', 'Bernard Tomic', 'Ricardas Berankis', 'David Ferrer', 'Marcel Granollers', 'Yoshihito Nishioka', 'Ernests Gulbis']","['Filip Krajinovic', 'Frank Dancevic', 'Adrian Mannarino']"
108,Illya Marchenko,"['Marcelo Demoliner', 'David Goffin', 'Sergiy Stakhovsky', 'Ivo Karlovic', 'Milos Raonic', 'Viktor Troicki', 'Carlos Berlocq']","['Mikhail Youzhny', 'Joao Sousa', 'Gael Monfils']"
109,Inigo Cervantes Huegun,['Lucas Pouille'],['Bye']
110,Ivan Dodig,"['Grigor Dimitrov', 'David Ferrer', 'John Isner', 'Andreas Haider Maurer', 'Kei Nishikori', 'Steve Johnson', 'Marcel Granollers', 'Guido Pella', 'Andreas Seppi', 'Donald Young', 'Radek Stepanek']","['Andreas Haider Maurer', 'Dusan Lajovic', 'Joao Sousa', 'Teymuraz Gabashvili', 'Joao Souza', 'Mate Delic', 'Mohamed Safwat', 'Michael Berrer']"
111,Ivo Karlovic,"['Stanislas Wawrinka', 'Rafael Nadal', 'Edouard Roger Vasselin', 'Andy Murray', 'Jeremy Chardy', 'Nick Kyrgios', 'Steve Johnson', 'Alejandro Falla', 'Austin Krajicek', 'Adrian Mannarino', 'Robin Haase', 'Roger Federer', 'Jiri Vesely', 'Jiri Vesely', 'Ernests Gulbis', 'Rajeev Ram', 'Nick Kyrgios', 'Ryan Harrison', 'Marcos Baghdatis', 'Alexandr Dolgopolov', 'Richard Gasquet', 'David Ferrer', 'Pablo Cuevas', 'Richard Gasquet', 'Marcos Baghdatis']","['Gilles Simon', 'Martin Klizan', 'Jeremy Chardy', 'Elias Ymer', 'Alexandr Dolgopolov', 'Jo Wilfried Tsonga', 'Jerzy Janowicz', 'Milos Raonic', 'Nikoloz Basilashvili', 'Lukas Lacko', 'Daniel Elahi Galan Riveros', 'Radek Stepanek', 'Tatsuma Ito', 'Santiago Giraldo', 'Alexander Zverev', 'Tomas Berdych', 'Federico Delbonis', 'Borna Coric', 'Andreas Seppi', 'Sergiy Stakhovsky', 'Illya Marchenko', 'Malek Jaziri', 'Dustin Brown', 'Jack Sock', 'Ruben Bemelmans', 'Teymuraz Gabashvili', 'Dusan Lajovic', 'Lukas Rosol', 'Nikoloz Basilashvili', 'Novak Djokovic', 'Guillermo Garcia Lopez', 'Dustin Brown', 'Thanasi Kokkinakis', 'Steve Johnson', 'Adrian Mannarino', 'Donald Young', 'Stanislas Wawrinka', 'Dusan Lajovic']"
112,Jabor Al Mutawa,['Sergiy Stakhovsky'],['Bye']
113,Jack Sock,"['Tomas Berdych', 'Kevin Anderson', 'Tomas Berdych', 'Viktor Troicki', 'Samuel Groth', 'Novak Djokovic', 'Dusan Lajovic', 'Roger Federer', 'Dominic Thiem', 'Ruben Bemelmans', 'Ivo Karlovic', 'Steve Johnson', 'Denis Kudla', 'Jo Wilfried Tsonga', 'Gilles Simon', 'Rafael Nadal', 'Roger Federer', 'Rafael Nadal']","['Pablo Carreno Busta', 'Fernando Verdasco', 'Gilles Simon', 'Richard Gasquet', 'Bjorn Fratangelo', 'Lukasz Kubot', 'Adrian Mannarino', 'Grigor Dimitrov', 'Yen Hsun Lu', 'Gilles Muller', 'Roberto Bautista Agut', 'Go Soeda', 'Fabio Fognini', 'Victor Estrella', 'Radek Stepanek', 'Lukas Lacko', 'Jan Hernych', 'Ruben Bemelmans', 'Richard Gasquet', 'Pablo Andujar', 'Joao Souza', 'Roberto Bautista Agut', 'Santiago Giraldo', 'Kevin Anderson', 'Sam Querrey', 'Teymuraz Gabashvili', 'Andreas Haider Maurer', 'Denis Kudla', 'John Isner', 'Donald Young', 'Grigor Dimitrov', 'Pablo Carreno Busta', 'Borna Coric']"
114,James Duckworth,"['Samuel Groth', 'Borna Coric', 'Fernando Verdasco', 'Fernando Verdasco', 'Roger Federer', 'Hyeon Chung', 'Austin Krajicek', 'Richard Gasquet', 'Francis Tiafoe', 'Kei Nishikori', 'Andrea Arnaboldi']","['Malek Jaziri', 'Francis Tiafoe', 'Quentin Halys', 'Dominic Thiem', 'Damir Dzumhur', 'Gilles Simon', 'Jarkko Nieminen', 'Blaz Kavcic', 'Ryan Harrison']"
115,James Mcgee,['Joao Sousa'],['Bye']
116,James Ward,"['Marsel Ilhan', 'Vasek Pospisil', 'Michael Berrer', 'Feliciano Lopez', 'Thomaz Bellucci', 'Milos Raonic', 'Tim Smyczek', 'Fernando Verdasco', 'Hyeon Chung', 'Andreas Seppi']","['Luca Vanni', 'Jiri Vesely', 'Antonio Veic']"
117,Jan Hernych,"['Jack Sock', 'Santiago Giraldo']","['Tim Smyczek', 'Alejandro Falla']"
118,Jan Lennard Struff,"['Roberto Carballes Baena', 'Bernard Tomic', 'Thanasi Kokkinakis', 'Guillermo Garcia Lopez', 'Florian Mayer', 'Sergiy Stakhovsky', 'Philipp Kohlschreiber', 'Dudi Sela', 'Mischa Zverev', 'Jarkko Nieminen', 'Jo Wilfried Tsonga', 'Dustin Brown', 'Andreas Haider Maurer', 'Kevin Anderson', 'Sergiy Stakhovsky', 'Mikhail Youzhny', 'Bernard Tomic', 'Viktor Troicki']","['Benjamin Becker', 'Philipp Kohlschreiber', 'Dominic Thiem', 'Nicolas Mahut']"
119,Janko Tipsarevic,"['Marcel Granollers', 'Roberto Bautista Agut', 'Guillermo Garcia Lopez', 'Gilles Simon', 'Victor Estrella', 'Santiago Giraldo', 'Denis Istomin']","['Thomas Fabbiano', 'Bernard Tomic', 'Guilherme Clezar']"
120,Jared Donaldson,"['Jerzy Janowicz', 'Sam Querrey', 'Lukas Rosol', 'John Isner', 'John Patrick Smith', 'Samuel Groth', 'Gilles Muller']","['Nicolas Mahut', 'Stefan Kozlov', 'Austin Krajicek', 'Somdev Devvarman']"
121,Jarkko Nieminen,"['Nicolas Almagro', 'Roger Federer', 'Novak Djokovic', 'Tatsuma Ito', 'Pablo Cuevas', 'Leonardo Mayer', 'James Duckworth', 'Pablo Andujar', 'Marius Copil', 'Alexander Zverev', 'Jo Wilfried Tsonga', 'Juan Monaco', 'Stanislas Wawrinka', 'Renzo Olivo', 'Steve Darcis', 'Andrey Rublev', 'Novak Djokovic']","['Marsel Ilhan', 'Lleyton Hewitt', 'Thiemo De Bakker', 'Marinko Matosevic', 'Denis Kudla', 'Marco Cecchinato', 'Andrey Golubev', 'Matthias Bachinger', 'Jan Lennard Struff']"
122,Jaume Munar,"['Benoit Paire', 'Simone Bolelli']",['Guillermo Garcia Lopez']
123,Jeremy Chardy,"['Gilles Muller', 'Richard Gasquet', 'Rafael Nadal', 'Ivo Karlovic', 'Kei Nishikori', 'Tomas Berdych', 'Novak Djokovic', 'Benjamin Becker', 'Gilles Simon', 'Donald Young', 'Milos Raonic', 'Grigor Dimitrov', 'Gilles Muller', 'Tomas Berdych', 'Marin Cilic', 'Thanasi Kokkinakis', 'Andreas Seppi', 'Paul Henri Mathieu', 'Aljaz Bedene', 'Fabio Fognini', 'Thomaz Bellucci', 'Andy Murray', 'Roger Federer', 'Kevin Anderson', 'Gilles Simon', 'Borna Coric', 'Andy Murray']","['Samuel Groth', 'Thanasi Kokkinakis', 'Federico Delbonis', 'Rajeev Ram', 'Lucas Pouille', 'Nicolas Mahut', 'Leonardo Mayer', 'Ivo Karlovic', 'John Isner', 'Alexander Zverev', 'Julien Benneteau', 'Jurgen Melzer', 'Andrey Golubev', 'Sam Querrey', 'Ryan Shane', 'Martin Klizan', 'David Ferrer', 'Borna Coric', 'Lukas Rosol', 'Diego Sebastian Schwartzman', 'Dusan Lajovic', 'Go Soeda', 'David Guez', 'Ernests Gulbis', 'Michael Berrer', 'John Isner', 'David Goffin']"
