Player 1,Player 2,Player_1_Win,,Player 1,Player 2,Player_1_Win
Marcel Granollers,Matthew Ebden,1,,Marcel Granollers,Matthew Ebden,1
John Isner,Jerzy Janowicz,1,,Jerzy Janowicz,John Isner,0
Bernard Tomic,Denis Istomin,1,,Bernard Tomic,Denis Istomin,1
Simone Bolelli,Brian Baker,1,,Brian Baker,Simone Bolelli,0
John Millman,Diego Sebastian Schwartzman,1,,John Millman,Diego Sebastian Schwartzman,1
Gilles Muller,Fabio Fognini,1,,Fabio Fognini,Gilles Muller,0
Joao Sousa,Mikhail Kukushkin,1,,Joao Sousa,Mikhail Kukushkin,1
Santiago Giraldo,Donald Young,1,,Donald Young,Santiago Giraldo,0
Samuel Groth,Adrian Mannarino,1,,Samuel Groth,Adrian Mannarino,1
Andy Murray,Alexander Zverev,1,,Alexander Zverev,Andy Murray,0
Novak Djokovic,Quentin Halys,1,,Novak Djokovic,Quentin Halys,1
Andreas Seppi,Denis Kudla,1,,Denis Kudla,Andreas Seppi,0
Federico Delbonis,Renzo Olivo,1,,Federico Delbonis,Renzo Olivo,1
Gilles Simon,Evgeny Donskoy,1,,Evgeny Donskoy,Gilles Simon,0
Jo Wilfried Tsonga,Omar Jasika,1,,Jo Wilfried Tsonga,Omar Jasika,1
Pierre Hugues Herbert,Noah Rubin,1,,Noah Rubin,Pierre Hugues Herbert,0
Guillermo Garcia Lopez,Daniel Brands,1,,Guillermo Garcia Lopez,Daniel Brands,1
Kei Nishikori,Austin Krajicek,1,,Austin Krajicek,Kei Nishikori,0
Roger Federer,Alexandr Dolgopolov,1,,Roger Federer,Alexandr Dolgopolov,1
Grigor Dimitrov,Marco Trungelliti,1,,Marco Trungelliti,Grigor Dimitrov,0
Dominic Thiem,Nicolas Almagro,1,,Dominic Thiem,Nicolas Almagro,1
David Goffin,Damir Dzumhur,1,,Damir Dzumhur,David Goffin,0
Marin Cilic,Albert Ramos,1,,Marin Cilic,Albert Ramos,1
Roberto Bautista Agut,Dusan Lajovic,1,,Dusan Lajovic,Roberto Bautista Agut,0
Nick Kyrgios,Pablo Cuevas,1,,Nick Kyrgios,Pablo Cuevas,1
Tomas Berdych,Mirza Basic,1,,Mirza Basic,Tomas Berdych,0
Dudi Sela,Fernando Verdasco,1,,Dudi Sela,Fernando Verdasco,1
Andrey Kuznetsov,Jeremy Chardy,1,,Jeremy Chardy,Andrey Kuznetsov,0
Gael Monfils,Nicolas Mahut,1,,Gael Monfils,Nicolas Mahut,1
Stephane Robert,Rajeev Ram,1,,Rajeev Ram,Stephane Robert,0
